regime,test_battery,model,feature,mean_abs_shap
NASA_to_CALCE,CS2_35,RandomForest,discharge_time_s,6.249249239687919
NASA_to_CALCE,CS2_35,RandomForest,avg_voltage,53.63695991106245
NASA_to_CALCE,CS2_35,RandomForest,voltage_drop,0.16268385731450727
NASA_to_CALCE,CS2_35,RandomForest,avg_current,5.252603034338857
NASA_to_CALCE,CS2_35,XGBoost,global_cycle,18.91448402404785
NASA_to_CALCE,CS2_35,XGBoost,discharge_time_s,3.0427510738372803
NASA_to_CALCE,CS2_35,XGBoost,avg_voltage,49.366004943847656
NASA_to_CALCE,CS2_35,XGBoost,voltage_drop,0.7848466634750366
NASA_to_CALCE,CS2_35,XGBoost,avg_current,3.5037028789520264
NASA_to_CALCE,CS2_36,ElasticNet,global_cycle,28.98361692039205
NASA_to_CALCE,CS2_36,ElasticNet,discharge_time_s,7.426261327358791
NASA_to_CALCE,CS2_36,ElasticNet,avg_voltage,160.1564692293775
NASA_to_CALCE,CS2_36,ElasticNet,voltage_drop,1.639373171044178
NASA_to_CALCE,CS2_36,ElasticNet,avg_current,0.6639472780256945
NASA_to_CALCE,CS2_36,RandomForest,global_cycle,7.570300932526285
NASA_to_CALCE,CS2_36,RandomForest,discharge_time_s,5.57110989252608
NASA_to_CALCE,CS2_36,RandomForest,avg_voltage,54.002530982712514
NASA_to_CALCE,CS2_36,RandomForest,voltage_drop,0.1661315790175846
NASA_to_CALCE,CS2_36,RandomForest,avg_current,5.5560721743444255
NASA_to_CALCE,CS2_36,XGBoost,global_cycle,17.23894500732422
NASA_to_CALCE,CS2_36,XGBoost,discharge_time_s,3.830548048019409
NASA_to_CALCE,CS2_36,XGBoost,avg_voltage,49.58921813964844
NASA_to_CALCE,CS2_36,XGBoost,voltage_drop,0.7391663789749146
NASA_to_CALCE,CS2_36,XGBoost,avg_current,3.764646530151367
NASA_to_CALCE,CS2_37,ElasticNet,global_cycle,45.27182562911202
NASA_to_CALCE,CS2_37,ElasticNet,discharge_time_s,7.097986614484603
NASA_to_CALCE,CS2_37,ElasticNet,avg_voltage,158.3887177225657
NASA_to_CALCE,CS2_37,ElasticNet,voltage_drop,1.8302202920739659
NASA_to_CALCE,CS2_37,ElasticNet,avg_current,0.6699479998417929
NASA_to_CALCE,CS2_37,RandomForest,global_cycle,8.209508727204808
NASA_to_CALCE,CS2_37,RandomForest,discharge_time_s,6.796050167702256
NASA_to_CALCE,CS2_37,RandomForest,avg_voltage,53.3119077057727
NASA_to_CALCE,CS2_37,RandomForest,voltage_drop,0.1716463349186663
NASA_to_CALCE,CS2_37,RandomForest,avg_current,5.041176978009637
NASA_to_CALCE,CS2_37,XGBoost,global_cycle,19.37656021118164
NASA_to_CALCE,CS2_37,XGBoost,discharge_time_s,4.650816440582275
NASA_to_CALCE,CS2_37,XGBoost,avg_voltage,49.01265335083008
NASA_to_CALCE,CS2_37,XGBoost,voltage_drop,0.6276524662971497
NASA_to_CALCE,CS2_37,XGBoost,avg_current,3.223853349685669
NASA_to_CALCE,CS2_38,ElasticNet,global_cycle,54.40203301694761
NASA_to_CALCE,CS2_38,ElasticNet,discharge_time_s,6.633700832308226
NASA_to_CALCE,CS2_38,ElasticNet,avg_voltage,157.1958136957855
NASA_to_CALCE,CS2_38,ElasticNet,voltage_drop,1.884080536654967
NASA_to_CALCE,CS2_38,ElasticNet,avg_current,0.6688775753403516
NASA_to_CALCE,CS2_38,RandomForest,global_cycle,8.328272419183657
NASA_to_CALCE,CS2_38,RandomForest,discharge_time_s,6.51362854285863
NASA_to_CALCE,CS2_38,RandomForest,avg_voltage,53.703330543230734
NASA_to_CALCE,CS2_38,RandomForest,voltage_drop,0.1631544997618563
NASA_to_CALCE,CS2_38,RandomForest,avg_current,5.101053216559161
NASA_to_CALCE,CS2_38,XGBoost,global_cycle,19.917505264282227
NASA_to_CALCE,CS2_38,XGBoost,discharge_time_s,3.802442789077759
NASA_to_CALCE,CS2_38,XGBoost,avg_voltage,49.35305404663086
NASA_to_CALCE,CS2_38,XGBoost,voltage_drop,0.6193812489509583
NASA_to_CALCE,CS2_38,XGBoost,avg_current,3.304871082305908
CALCE_to_NASA,B0005,ElasticNet,global_cycle,59.97857196962424
CALCE_to_NASA,B0005,ElasticNet,discharge_time_s,43.29953573002912
CALCE_to_NASA,B0005,ElasticNet,avg_voltage,423.4510411298394
CALCE_to_NASA,B0005,ElasticNet,voltage_drop,4.756257135040908
CALCE_to_NASA,B0005,ElasticNet,avg_current,253.71673332414736
CALCE_to_NASA,B0005,RandomForest,global_cycle,124.06867992743554
CALCE_to_NASA,B0005,RandomForest,discharge_time_s,24.183764676462214
CALCE_to_NASA,B0005,RandomForest,avg_voltage,4.678385727006429
CALCE_to_NASA,B0005,RandomForest,voltage_drop,6.907871638439822
CALCE_to_NASA,B0005,RandomForest,avg_current,2.9275728042837517
CALCE_to_NASA,B0005,XGBoost,global_cycle,116.54119110107422
CALCE_to_NASA,B0005,XGBoost,discharge_time_s,24.6267147064209
CALCE_to_NASA,B0005,XGBoost,avg_voltage,7.348252296447754
CALCE_to_NASA,B0005,XGBoost,voltage_drop,8.436128616333008
CALCE_to_NASA,B0005,XGBoost,avg_current,1.754471778869629
CALCE_to_NASA,B0006,ElasticNet,global_cycle,82.56390969298458
CALCE_to_NASA,B0006,ElasticNet,discharge_time_s,36.762681126680846
CALCE_to_NASA,B0006,ElasticNet,avg_voltage,451.8726375355411
CALCE_to_NASA,B0006,ElasticNet,voltage_drop,28.53595678624426
CALCE_to_NASA,B0006,ElasticNet,avg_current,260.82813879033995
CALCE_to_NASA,B0006,RandomForest,global_cycle,144.5423775337162
CALCE_to_NASA,B0006,RandomForest,discharge_time_s,32.013760712001606
CALCE_to_NASA,B0006,RandomForest,avg_voltage,3.6704637883073556
CALCE_to_NASA,B0006,RandomForest,voltage_drop,4.003372519556341
CALCE_to_NASA,B0006,RandomForest,avg_current,3.1308736516110516
CALCE_to_NASA,B0006,XGBoost,global_cycle,137.2197265625
CALCE_to_NASA,B0006,XGBoost,discharge_time_s,21.38564682006836
CALCE_to_NASA,B0006,XGBoost,avg_voltage,8.119185447692871
CALCE_to_NASA,B0006,XGBoost,voltage_drop,5.237607002258301
CALCE_to_NASA,B0006,XGBoost,avg_current,2.2342514991760254
CALCE_to_NASA,B0007,ElasticNet,global_cycle,74.47888607217075
CALCE_to_NASA,B0007,ElasticNet,discharge_time_s,42.58110294712624
CALCE_to_NASA,B0007,ElasticNet,avg_voltage,421.69376341880513
CALCE_to_NASA,B0007,ElasticNet,voltage_drop,62.766012299144165
CALCE_to_NASA,B0007,ElasticNet,avg_current,266.5091739073804
CALCE_to_NASA,B0007,RandomForest,global_cycle,123.19252144193727
CALCE_to_NASA,B0007,RandomForest,discharge_time_s,23.789231421526797
CALCE_to_NASA,B0007,RandomForest,avg_voltage,4.667058982816913
CALCE_to_NASA,B0007,RandomForest,voltage_drop,3.9407211842343615
CALCE_to_NASA,B0007,RandomForest,avg_current,3.0132217294699863
CALCE_to_NASA,B0007,XGBoost,global_cycle,116.01170349121094
CALCE_to_NASA,B0007,XGBoost,discharge_time_s,24.381717681884766
CALCE_to_NASA,B0007,XGBoost,avg_voltage,7.342040061950684
CALCE_to_NASA,B0007,XGBoost,voltage_drop,3.993875026702881
CALCE_to_NASA,B0007,XGBoost,avg_current,1.6912424564361572
CALCE_to_NASA,B0018,ElasticNet,global_cycle,72.61386250746612
CALCE_to_NASA,B0018,ElasticNet,discharge_time_s,42.20554178853945
CALCE_to_NASA,B0018,ElasticNet,avg_voltage,449.89665062613165
CALCE_to_NASA,B0018,ElasticNet,voltage_drop,27.920111171938817
CALCE_to_NASA,B0018,ElasticNet,avg_current,257.6359463285358
CALCE_to_NASA,B0018,RandomForest,global_cycle,150.14357694363616
CALCE_to_NASA,B0018,RandomForest,discharge_time_s,24.39963547179112
CALCE_to_NASA,B0018,RandomForest,avg_voltage,4.7190917767233485
CALCE_to_NASA,B0018,RandomForest,voltage_drop,4.445893345769907
CALCE_to_NASA,B0018,RandomForest,avg_current,2.282949909123546
CALCE_to_NASA,B0018,XGBoost,global_cycle,138.75863647460938
CALCE_to_NASA,B0018,XGBoost,discharge_time_s,30.67523193359375
CALCE_to_NASA,B0018,XGBoost,avg_voltage,6.655195236206055
CALCE_to_NASA,B0018,XGBoost,voltage_drop,2.9147400856018066
CALCE_to_NASA,B0018,XGBoost,avg_current,2.1936447620391846
